EXECUTIONID,ABSTRACTIONID,ACTIONID,ARENAID,SHEETID,SYSTEMID,VARIANTID,ADAPTERID,X,Y,TYPE,VALUE,RAWVALUE,VALUETYPE,LASTMODIFIED,EXECUTIONTIME
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,jacoco,all,d6edfca0-cf87-4494-a125-63aca4d76cf9,original,0,-1,-1,jacoco_class_instruction.missedratio,1.0,,,2023-05-11T14:12:01.751Z,0
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,execute,all,c729dee8-59fd-4e75-a90c-27e2f05f4a74,original,5,-1,-1,loader.artifacts,10,,,2023-05-11T14:11:58.935Z,0
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,jacoco,all,c729dee8-59fd-4e75-a90c-27e2f05f4a74,original,4,-1,-1,loader.classes_loaded,3,,,2023-05-11T14:12:00.528Z,0
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,jacoco,all,64d05590-d055-4031-9454-10d0c7cfa0e1,original,6,-1,-1,jacoco_class_complexity.coveredratio,0.0,,,2023-05-11T14:12:01.012Z,0
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,jacoco,all,3486e19a-52de-48c3-9837-421913effd88,original,3,-1,-1,jacoco_class_branch.coveredratio,0.0,,,2023-05-11T14:12:02.173Z,0
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,jacoco,all,d4508b37-19a2-466b-a5a5-f37e3cf4342d,original,9,-1,-1,jacoco_class_line.coveredratio,0.0,,,2023-05-11T14:12:02.721Z,0
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,jacoco,all,c729dee8-59fd-4e75-a90c-27e2f05f4a74,original,8,-1,-1,jacoco_class_branch.missed,10,,,2023-05-11T14:12:01.062Z,0
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,jacoco,all,d6edfca0-cf87-4494-a125-63aca4d76cf9,original,5,-1,-1,jacoco_class_class.missedratio,1.0,,,2023-05-11T14:12:02.424Z,0
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,jacoco,all,3cfe7c2b-23b1-40ba-a87e-bdaa481b5690,original,5,-1,-1,loader.artifacts,144,,,2023-05-11T14:12:00.753Z,0
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,jacoco,all,64d05590-d055-4031-9454-10d0c7cfa0e1,original,6,-1,-1,jacoco_class_method.covered,0,,,2023-05-11T14:12:01.012Z,0
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,jacoco,all,3cfe7c2b-23b1-40ba-a87e-bdaa481b5690,original,8,-1,-1,jacoco_class_method.missed,6,,,2023-05-11T14:12:01.141Z,0
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,jacoco,all,64d05590-d055-4031-9454-10d0c7cfa0e1,original,2,-1,-1,jacoco_class_complexity.total,11,,,2023-05-11T14:12:00.238Z,0
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,execute,all,1b9a105a-40c3-4259-8767-510f6afd3e5f,original,6,-1,-1,loader.artifacts,1,,,2023-05-11T14:12:01.529Z,0
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,jacoco,all,df9bea55-3b46-4d48-bd65-53bd113e4135,original,4,-1,-1,jacoco_class_instruction.missed,41,,,2023-05-11T14:12:00.583Z,0
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,jacoco,all,d6edfca0-cf87-4494-a125-63aca4d76cf9,original,9,-1,-1,jacoco_class_complexity.coveredratio,0.0,,,2023-05-11T14:12:02.663Z,0
